,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total_Assets,Assets_score,Assets_to_loan_score,Income_to_loan,Income_to_loan_score,Income_to_Loan_score_per_dependancy
3168,5, Not Graduate, No,2400000,7500000,12,357,2600000,2900000,6100000,1300000,0,11600000,4141200000,552.16,3.84,1370.8799999999999,228.48
3169,1, Not Graduate, Yes,8700000,27500000,16,815,8000000,13400000,23600000,5900000,1,45000000,36675000000,1333.6363636363637,5.0618181818181816,4125.381818181818,2062.690909090909
3170,1, Not Graduate, No,9600000,26000000,16,368,18500000,16600000,29900000,8400000,0,65000000,23920000000,920.0,5.907692307692308,2174.0307692307692,1087.0153846153846
3171,0, Graduate, No,8400000,19800000,16,674,500000,12200000,27400000,10700000,1,40100000,27027400000,1365.020202020202,6.787878787878788,4575.030303030303,4575.030303030303
3172,5, Not Graduate, No,9200000,23900000,10,335,5800000,15300000,35400000,10700000,0,56500000,18927500000,791.9456066945606,3.8493723849372383,1289.5397489539748,214.92329149232913
3173,2, Graduate, Yes,4600000,12600000,2,355,6300000,6900000,14800000,6500000,0,28000000,9940000000,788.8888888888889,0.7301587301587301,259.2063492063492,86.4021164021164
3174,5, Not Graduate, No,7600000,17500000,6,510,9100000,3500000,15700000,9800000,0,28300000,14433000000,824.7428571428571,2.605714285714286,1328.9142857142858,221.4857142857143
3175,4, Graduate, No,8500000,17800000,4,698,6700000,4300000,28600000,8000000,1,39600000,27640800000,1552.8539325842696,1.9101123595505618,1333.258426966292,266.6516853932584
3176,4, Not Graduate, Yes,3100000,8200000,18,408,2900000,3800000,10800000,3100000,0,17500000,7140000000,870.7317073170732,6.804878048780488,2776.390243902439,555.2780487804878
3177,3, Graduate, Yes,4900000,13100000,18,401,5700000,4100000,16400000,3600000,0,26200000,10506200000,802.0,6.732824427480916,2699.8625954198474,674.9656488549618
3178,5, Not Graduate, Yes,5800000,14000000,14,418,3900000,10400000,15100000,6800000,0,29400000,12289200000,877.8,5.8,2424.4,404.06666666666666
3179,0, Not Graduate, No,5700000,21300000,4,697,3000000,6800000,20000000,5500000,1,29800000,20770600000,975.1455399061033,1.0704225352112675,746.0845070422534,746.0845070422534
3180,4, Graduate, No,3200000,12200000,14,683,-100000,1100000,7500000,2900000,0,8500000,5805500000,475.8606557377049,3.6721311475409837,2508.065573770492,501.6131147540984
3181,4, Not Graduate, Yes,8000000,31500000,16,763,14900000,8800000,17600000,8900000,1,41300000,31511900000,1000.3777777777777,4.063492063492063,3100.4444444444443,620.0888888888888
3182,4, Not Graduate, No,5000000,11400000,6,336,1600000,4000000,15500000,2500000,0,21100000,7089600000,621.8947368421053,2.6315789473684212,884.2105263157896,176.84210526315792
3183,2, Not Graduate, Yes,2900000,8300000,10,693,7500000,1900000,9700000,4300000,1,19100000,13236300000,1594.7349397590363,3.4939759036144578,2421.3253012048194,807.1084337349398
3184,2, Not Graduate, No,6400000,23900000,18,745,14800000,4000000,16300000,7000000,1,35100000,26149500000,1094.121338912134,4.820083682008368,3590.9623430962342,1196.9874476987447
3185,5, Graduate, No,6300000,22500000,18,629,300000,3900000,23100000,8000000,1,27300000,17171700000,763.1866666666666,5.04,3170.16,528.36
3186,0, Not Graduate, No,5900000,23300000,16,581,2200000,8100000,14900000,5800000,1,25200000,14641200000,628.3776824034335,4.051502145922747,2353.922746781116,2353.922746781116
3187,1, Graduate, No,8100000,29600000,4,672,8200000,5100000,21100000,5400000,1,34400000,23116800000,780.972972972973,1.0945945945945945,735.5675675675675,367.78378378378375
3188,5, Graduate, Yes,7100000,20100000,4,700,16900000,2900000,15600000,4500000,1,35400000,24780000000,1232.8358208955224,1.4129353233830846,989.0547263681592,164.8424543946932
3189,1, Not Graduate, No,1400000,4400000,14,787,1600000,1200000,4200000,800000,1,7000000,5509000000,1252.0454545454545,4.454545454545454,3505.7272727272725,1752.8636363636363
3190,3, Graduate, Yes,2300000,8000000,8,300,4200000,3800000,7300000,1200000,0,15300000,4590000000,573.75,2.3,690.0,172.5
3191,1, Graduate, No,7400000,16100000,4,655,22000000,12900000,25300000,4300000,1,60200000,39431000000,2449.1304347826085,1.8385093167701863,1204.223602484472,602.111801242236
3192,0, Graduate, Yes,5300000,13300000,12,572,4200000,2500000,18000000,7100000,1,24700000,14128400000,1062.2857142857142,4.7819548872180455,2735.278195488722,2735.278195488722
3193,5, Graduate, Yes,7700000,16400000,2,663,1100000,14800000,15800000,3900000,1,31700000,21017100000,1281.530487804878,0.9390243902439024,622.5731707317073,103.76219512195121
3194,0, Not Graduate, No,5000000,10700000,16,726,1600000,1100000,15700000,4800000,1,18400000,13358400000,1248.4485981308412,7.4766355140186915,5428.03738317757,5428.03738317757
3195,5, Not Graduate, Yes,6000000,12300000,12,680,11400000,5300000,13800000,7300000,1,30500000,20740000000,1686.178861788618,5.853658536585366,3980.487804878049,663.4146341463414
3196,0, Graduate, No,1400000,2700000,2,685,3400000,800000,5400000,1300000,1,9600000,6576000000,2435.5555555555557,1.037037037037037,710.3703703703703,710.3703703703703
3197,5, Not Graduate, Yes,9400000,23100000,6,762,12400000,10200000,22300000,6600000,1,44900000,34213800000,1481.1168831168832,2.4415584415584415,1860.4675324675325,310.0779220779221
3198,3, Not Graduate, No,5200000,17200000,18,768,9200000,5500000,11700000,3800000,1,26400000,20275200000,1178.7906976744187,5.441860465116279,4179.3488372093025,1044.8372093023256
3199,0, Graduate, No,3100000,11100000,8,504,3500000,4600000,11400000,1800000,0,19500000,9828000000,885.4054054054054,2.234234234234234,1126.054054054054,1126.054054054054
3200,3, Not Graduate, Yes,8400000,20500000,12,796,22900000,10500000,17600000,11200000,1,51000000,40596000000,1980.2926829268292,4.917073170731707,3913.990243902439,978.4975609756098
3201,0, Not Graduate, No,1200000,2900000,18,348,400000,1200000,2900000,600000,0,4500000,1566000000,540.0,7.448275862068965,2592.0,2592.0
3202,5, Not Graduate, Yes,4800000,13100000,6,717,8300000,8900000,18300000,2800000,1,35500000,25453500000,1943.0152671755725,2.198473282442748,1576.3053435114505,262.71755725190843
3203,5, Not Graduate, Yes,9200000,34200000,4,565,500000,13900000,23600000,12300000,1,38000000,21470000000,627.7777777777778,1.0760233918128654,607.953216374269,101.32553606237816
3204,2, Not Graduate, No,5300000,10900000,6,647,14600000,3500000,18700000,3200000,1,36800000,23809600000,2184.3669724770643,2.9174311926605503,1887.5779816513761,629.1926605504588
3205,3, Graduate, No,4700000,10900000,2,626,9200000,2300000,14600000,5200000,1,26100000,16338600000,1498.954128440367,0.8623853211009175,539.8532110091743,134.96330275229357
3206,0, Not Graduate, No,6500000,24700000,6,554,2700000,1100000,22700000,9600000,1,26500000,14681000000,594.3724696356276,1.5789473684210527,874.7368421052631,874.7368421052631
3207,4, Graduate, Yes,3200000,11500000,20,864,8700000,5000000,12100000,4100000,1,25800000,22291200000,1938.3652173913044,5.565217391304348,4808.347826086956,961.6695652173912
3208,4, Graduate, No,4600000,12500000,6,406,10800000,200000,14000000,6800000,0,25000000,10150000000,812.0,2.208,896.4480000000001,179.2896
3209,5, Graduate, No,700000,1800000,10,650,1300000,100000,1500000,300000,1,2900000,1885000000,1047.2222222222222,3.888888888888889,2527.777777777778,421.2962962962963
3210,5, Not Graduate, Yes,7600000,16500000,8,534,8900000,10300000,24900000,8300000,0,44100000,23549400000,1427.2363636363636,3.684848484848485,1967.709090909091,327.95151515151514
3211,4, Graduate, No,1200000,2600000,8,872,1600000,2100000,2700000,900000,1,6400000,5580800000,2146.4615384615386,3.6923076923076925,3219.692307692308,643.9384615384616
3212,2, Graduate, No,5100000,16500000,12,845,12100000,9000000,11400000,5700000,1,32500000,27462500000,1664.3939393939395,3.709090909090909,3134.181818181818,1044.7272727272727
3213,1, Not Graduate, Yes,4300000,16300000,14,792,400000,400000,10200000,4000000,0,11000000,8712000000,534.4785276073619,3.6932515337423313,2925.0552147239264,1462.5276073619632
3214,4, Graduate, No,300000,1200000,18,544,700000,100000,800000,100000,0,1600000,870400000,725.3333333333334,4.5,2448.0,489.6
3215,2, Graduate, Yes,4000000,13000000,10,552,3700000,1600000,15600000,3400000,1,20900000,11536800000,887.4461538461538,3.076923076923077,1698.4615384615386,566.1538461538462
3216,5, Not Graduate, No,3900000,14900000,12,837,1100000,500000,14400000,3600000,1,16000000,13392000000,898.7919463087248,3.140939597315436,2628.96644295302,438.1610738255033
3217,0, Not Graduate, Yes,6900000,21300000,18,845,17400000,5600000,21400000,6600000,1,44400000,37518000000,1761.4084507042253,5.830985915492958,4927.183098591549,4927.183098591549
3218,4, Not Graduate, Yes,7000000,24100000,10,677,18800000,6000000,21600000,6300000,1,46400000,31412800000,1303.4356846473029,2.904564315352697,1966.390041493776,393.2780082987552
3219,1, Graduate, No,6300000,18300000,20,430,13000000,1300000,23000000,9200000,0,37300000,16039000000,876.448087431694,6.885245901639344,2960.655737704918,1480.327868852459
3220,3, Graduate, Yes,8900000,22500000,12,887,23300000,10800000,33500000,9500000,1,67600000,59961200000,2664.9422222222224,4.746666666666667,4210.293333333334,1052.5733333333335
3221,0, Not Graduate, Yes,5700000,19400000,8,544,4300000,6400000,19900000,5800000,0,30600000,16646400000,858.0618556701031,2.350515463917526,1278.680412371134,1278.680412371134
3222,4, Not Graduate, Yes,5200000,18300000,10,355,400000,3800000,10600000,3400000,0,14800000,5254000000,287.10382513661204,2.841530054644809,1008.7431693989071,201.7486338797814
3223,4, Graduate, No,7400000,17500000,4,540,8800000,7600000,17900000,3600000,0,34300000,18522000000,1058.4,1.6914285714285715,913.3714285714286,182.67428571428573
3224,5, Graduate, No,6500000,16000000,14,444,1100000,7900000,23100000,7900000,0,32100000,14252400000,890.775,5.6875,2525.25,420.875
3225,3, Graduate, No,6200000,14900000,14,567,1200000,9100000,20800000,8800000,1,31100000,17633700000,1183.4697986577182,5.825503355704698,3303.060402684564,825.765100671141
3226,5, Not Graduate, Yes,2400000,6500000,20,513,6400000,2100000,5200000,2600000,0,13700000,7028100000,1081.246153846154,7.384615384615385,3788.3076923076924,631.3846153846154
3227,0, Not Graduate, No,2500000,7100000,10,590,4000000,800000,6100000,2600000,1,10900000,6431000000,905.7746478873239,3.5211267605633805,2077.4647887323945,2077.4647887323945
3228,2, Graduate, Yes,2700000,8500000,20,368,4900000,4500000,5900000,2100000,0,15300000,5630400000,662.4,6.352941176470588,2337.882352941176,779.2941176470587
3229,5, Not Graduate, No,3000000,7600000,6,413,2300000,3500000,11400000,1700000,0,17200000,7103600000,934.6842105263158,2.3684210526315788,978.1578947368421,163.02631578947367
3230,4, Graduate, Yes,6100000,13600000,4,401,10700000,2000000,20500000,3900000,0,33200000,13313200000,978.9117647058823,1.7941176470588236,719.4411764705883,143.88823529411766
3231,3, Graduate, No,1500000,5400000,18,687,200000,400000,4500000,1700000,1,5100000,3503700000,648.8333333333334,5.0,3435.0,858.75
3232,2, Graduate, No,6500000,14100000,14,577,4600000,12000000,25100000,3900000,1,41700000,24060900000,1706.4468085106382,6.453900709219858,3723.900709219858,1241.3002364066194
3233,4, Not Graduate, No,200000,700000,10,576,500000,100000,400000,300000,1,1000000,576000000,822.8571428571429,2.857142857142857,1645.7142857142858,329.14285714285717
3234,1, Not Graduate, No,9900000,23400000,16,687,28200000,3700000,29600000,8200000,1,61500000,42250500000,1805.576923076923,6.769230769230769,4650.461538461538,2325.230769230769
3235,4, Graduate, No,5500000,11600000,12,474,1800000,2400000,20100000,5600000,0,24300000,11518200000,992.948275862069,5.689655172413793,2696.8965517241377,539.3793103448276
3236,4, Graduate, No,1200000,4400000,6,709,2800000,2300000,4100000,1700000,1,9200000,6522800000,1482.4545454545455,1.6363636363636365,1160.1818181818182,232.03636363636366
3237,4, Graduate, Yes,6900000,20200000,18,438,9600000,6200000,26800000,5700000,0,42600000,18658800000,923.7029702970297,6.148514851485149,2693.0495049504952,538.609900990099
3238,3, Graduate, Yes,8000000,25300000,4,306,22300000,7300000,24400000,6600000,1,54000000,16524000000,653.1225296442688,1.2648221343873518,387.0355731225296,96.7588932806324
3239,3, Not Graduate, Yes,4100000,13900000,20,383,1900000,2300000,15800000,3800000,0,20000000,7660000000,551.0791366906475,5.899280575539568,2259.4244604316546,564.8561151079136
3240,2, Graduate, No,1400000,4700000,20,563,400000,2300000,2800000,1400000,1,5500000,3096500000,658.8297872340426,5.957446808510638,3354.0425531914893,1118.014184397163
3241,4, Not Graduate, Yes,1600000,3200000,20,371,1600000,2300000,4600000,1000000,0,8500000,3153500000,985.46875,10.0,3710.0,742.0
3242,1, Graduate, No,2100000,4200000,12,379,2700000,2100000,8100000,2500000,0,12900000,4889100000,1164.0714285714287,6.0,2274.0,1137.0
3243,1, Not Graduate, No,8800000,30200000,18,897,17100000,7900000,28700000,11100000,1,53700000,48168900000,1594.9966887417218,5.245033112582782,4704.794701986755,2352.3973509933776
3244,3, Not Graduate, Yes,7100000,25400000,10,725,20600000,5300000,16000000,8600000,1,41900000,30377500000,1195.9645669291338,2.795275590551181,2026.5748031496062,506.64370078740154
3245,1, Not Graduate, No,8600000,31500000,16,678,19700000,13400000,22200000,5300000,1,55300000,37493400000,1190.2666666666667,4.368253968253968,2961.67619047619,1480.838095238095
3246,2, Not Graduate, Yes,5400000,14800000,6,724,1000000,400000,13100000,5400000,1,14500000,10498000000,709.3243243243244,2.189189189189189,1584.972972972973,528.3243243243243
3247,3, Graduate, Yes,1000000,2500000,6,808,2900000,600000,2000000,500000,1,5500000,4444000000,1777.6,2.4,1939.1999999999998,484.79999999999995
3248,0, Graduate, No,5400000,18400000,8,625,12100000,3000000,13000000,4800000,1,28100000,17562500000,954.4836956521739,2.347826086956522,1467.3913043478262,1467.3913043478262
3249,2, Graduate, No,4200000,16800000,4,771,6500000,4500000,10500000,5800000,1,21500000,16576500000,986.6964285714286,1.0,771.0,257.0
3250,2, Not Graduate, No,7500000,22400000,14,695,8100000,3900000,15300000,9400000,1,27300000,18973500000,847.03125,4.6875,3257.8125,1085.9375
3251,4, Graduate, No,1200000,3300000,2,564,2200000,500000,4700000,1100000,1,7400000,4173600000,1264.7272727272727,0.7272727272727273,410.1818181818182,82.03636363636363
3252,4, Graduate, Yes,6300000,14500000,10,349,3800000,12300000,16500000,5700000,0,32600000,11377400000,784.648275862069,4.344827586206897,1516.344827586207,303.2689655172414
3253,4, Graduate, Yes,300000,900000,4,797,300000,400000,600000,400000,1,1300000,1036100000,1151.2222222222222,1.3333333333333333,1062.6666666666665,212.5333333333333
3254,3, Graduate, No,7400000,28800000,8,391,20000000,7900000,23600000,7200000,0,51500000,20136500000,699.1840277777778,2.0555555555555554,803.7222222222222,200.93055555555554
3255,5, Not Graduate, No,2200000,5400000,12,833,4900000,3300000,7000000,1600000,1,15200000,12661600000,2344.740740740741,4.888888888888889,4072.444444444445,678.7407407407408
3256,5, Graduate, No,4000000,9100000,10,515,600000,6400000,9900000,5500000,0,16900000,8703500000,956.4285714285714,4.395604395604396,2263.736263736264,377.28937728937734
3257,4, Graduate, Yes,2700000,10400000,16,671,6100000,3700000,5600000,4000000,1,15400000,10333400000,993.5961538461538,4.153846153846154,2787.2307692307695,557.446153846154
3258,0, Not Graduate, Yes,2000000,6900000,4,404,4900000,1600000,4200000,3000000,1,10700000,4322800000,626.4927536231884,1.1594202898550725,468.4057971014493,468.4057971014493
3259,4, Not Graduate, No,6400000,14800000,6,537,2300000,3700000,18600000,6500000,0,24600000,13210200000,892.581081081081,2.5945945945945947,1393.2972972972973,278.65945945945947
3260,5, Not Graduate, Yes,1400000,5100000,4,348,2100000,900000,4000000,1300000,1,7000000,2436000000,477.6470588235294,1.0980392156862746,382.11764705882354,63.68627450980392
3261,0, Not Graduate, Yes,2800000,6300000,12,647,4100000,0,8700000,2300000,1,12800000,8281600000,1314.5396825396826,5.333333333333333,3450.6666666666665,3450.6666666666665
3262,2, Not Graduate, Yes,8200000,28700000,14,316,23300000,16100000,17700000,4300000,0,57100000,18043600000,628.6968641114983,4.0,1264.0,421.3333333333333
3263,3, Not Graduate, No,9000000,26700000,14,638,5300000,0,31300000,5200000,1,36600000,23350800000,874.561797752809,4.719101123595506,3010.7865168539324,752.6966292134831
3264,5, Not Graduate, Yes,800000,2100000,12,363,1200000,1000000,3100000,900000,0,5300000,1923900000,916.1428571428571,4.571428571428571,1659.4285714285713,276.57142857142856
3265,4, Not Graduate, Yes,6100000,21200000,6,808,700000,7200000,22300000,6100000,1,30200000,24401600000,1151.0188679245282,1.7264150943396226,1394.943396226415,278.988679245283
3266,4, Not Graduate, Yes,2400000,9400000,2,871,3700000,300000,7100000,3500000,1,11100000,9668100000,1028.5212765957447,0.5106382978723404,444.7659574468085,88.9531914893617
3267,4, Graduate, Yes,6000000,17000000,12,607,15300000,3200000,22100000,3900000,1,40600000,24644200000,1449.6588235294118,4.235294117647059,2570.823529411765,514.164705882353
3268,2, Not Graduate, Yes,7900000,22500000,6,571,8100000,5300000,17900000,8100000,1,31300000,17872300000,794.3244444444445,2.1066666666666665,1202.9066666666665,400.96888888888884
3269,3, Graduate, Yes,9500000,25700000,18,446,16900000,13600000,29300000,10100000,0,59800000,26670800000,1037.7743190661479,6.653696498054475,2967.5486381322958,741.8871595330739
3270,3, Not Graduate, Yes,1800000,6400000,20,436,1500000,2900000,4400000,1300000,0,8800000,3836800000,599.5,5.625,2452.5,613.125
3271,3, Not Graduate, Yes,5800000,14100000,12,738,11700000,4400000,15400000,8400000,1,31500000,23247000000,1648.723404255319,4.9361702127659575,3642.8936170212764,910.7234042553191
3272,3, Graduate, No,2800000,9400000,10,519,7000000,3500000,7700000,1500000,0,18200000,9445800000,1004.8723404255319,2.978723404255319,1545.9574468085107,386.48936170212767
3273,3, Graduate, Yes,4000000,8300000,8,531,3700000,7400000,15200000,5900000,0,26300000,13965300000,1682.566265060241,3.855421686746988,2047.2289156626505,511.8072289156626
3274,1, Not Graduate, No,1000000,3400000,18,578,2300000,400000,3100000,1200000,1,5800000,3352400000,986.0,5.294117647058823,3060.0,1530.0
3275,0, Graduate, No,9100000,21100000,20,578,5900000,6200000,33700000,5600000,1,45800000,26472400000,1254.6161137440758,8.625592417061611,4985.592417061611,4985.592417061611
3276,0, Graduate, No,4600000,18100000,14,442,2800000,200000,15600000,3300000,0,18600000,8221200000,454.2099447513812,3.5580110497237567,1572.6408839779006,1572.6408839779006
3277,2, Not Graduate, No,7800000,16900000,6,751,17400000,6300000,20400000,11700000,1,44100000,33119100000,1959.7100591715975,2.769230769230769,2079.6923076923076,693.2307692307692
3278,4, Graduate, Yes,6600000,18800000,10,353,16500000,9500000,20000000,6200000,0,46000000,16238000000,863.7234042553191,3.5106382978723403,1239.2553191489362,247.85106382978725
3279,5, Not Graduate, No,9800000,26600000,12,664,5200000,2900000,22500000,14100000,1,30600000,20318400000,763.8496240601504,4.421052631578948,2935.5789473684213,489.2631578947369
3280,1, Graduate, No,7400000,26600000,18,505,2200000,2400000,22400000,3900000,0,27000000,13635000000,512.593984962406,5.007518796992481,2528.796992481203,1264.3984962406014
3281,3, Graduate, Yes,4300000,16600000,10,571,5700000,3700000,12800000,5800000,1,22200000,12676200000,763.6265060240963,2.5903614457831323,1479.0963855421685,369.7740963855421
3282,2, Not Graduate, Yes,9800000,34600000,16,754,12400000,14900000,34700000,6100000,1,62000000,46748000000,1351.0982658959538,4.531791907514451,3416.971098265896,1138.990366088632
3283,5, Not Graduate, No,1100000,3900000,20,858,3200000,1200000,3800000,1100000,1,8200000,7035600000,1804.0,5.641025641025641,4840.0,806.6666666666666
3284,3, Graduate, Yes,8600000,21800000,20,641,5300000,8800000,24000000,9100000,1,38100000,24422100000,1120.2798165137615,7.889908256880734,5057.431192660551,1264.3577981651376
3285,0, Not Graduate, Yes,9400000,35500000,16,592,9300000,11800000,30500000,5800000,1,51600000,30547200000,860.4845070422535,4.236619718309859,2508.0788732394362,2508.0788732394362
3286,3, Graduate, Yes,5300000,20300000,14,432,15000000,0,17200000,5900000,0,32200000,13910400000,685.2413793103449,3.6551724137931036,1579.0344827586207,394.7586206896552
3287,1, Not Graduate, Yes,8700000,33800000,18,558,18300000,11500000,31500000,5900000,1,61300000,34205400000,1011.9940828402367,4.633136094674557,2585.2899408284025,1292.6449704142012
3288,3, Graduate, Yes,4800000,14200000,12,547,10400000,700000,9800000,2400000,0,20900000,11432300000,805.0915492957746,4.056338028169014,2218.8169014084506,554.7042253521126
3289,4, Not Graduate, No,4400000,9800000,18,732,2400000,2400000,15100000,4400000,1,19900000,14566800000,1486.408163265306,8.081632653061224,5915.7551020408155,1183.151020408163
3290,1, Graduate, Yes,5400000,19300000,12,784,5000000,1800000,20300000,6500000,1,27100000,21246400000,1100.8497409326426,3.3575129533678756,2632.2901554404143,1316.1450777202072
3291,5, Not Graduate, Yes,8400000,31900000,10,605,18900000,10300000,22000000,9100000,1,51200000,30976000000,971.0344827586207,2.633228840125392,1593.103448275862,265.51724137931035
3292,1, Graduate, Yes,5400000,19500000,18,688,12100000,800000,17000000,3500000,1,29900000,20571200000,1054.9333333333334,4.984615384615385,3429.4153846153845,1714.7076923076922
3293,3, Not Graduate, Yes,9400000,32100000,10,617,22700000,5800000,29400000,11400000,1,57900000,35724300000,1112.9065420560748,2.9283489096573208,1806.7912772585669,451.6978193146417
3294,0, Not Graduate, Yes,800000,2400000,4,518,500000,800000,2800000,500000,1,4100000,2123800000,884.9166666666666,1.3333333333333333,690.6666666666666,690.6666666666666
3295,0, Not Graduate, No,3800000,14800000,10,390,5900000,5700000,9500000,4600000,0,21100000,8229000000,556.0135135135135,2.5675675675675675,1001.3513513513514,1001.3513513513514
3296,4, Graduate, No,3100000,6300000,4,370,8600000,4100000,8800000,2800000,0,21500000,7955000000,1262.6984126984128,1.9682539682539681,728.2539682539682,145.65079365079364
3297,3, Not Graduate, Yes,6000000,21300000,4,802,4700000,8900000,17300000,7600000,1,30900000,24781800000,1163.4647887323943,1.1267605633802817,903.661971830986,225.9154929577465
3298,2, Not Graduate, Yes,6800000,15500000,12,338,9900000,1200000,21800000,8500000,0,32900000,11120200000,717.4322580645161,5.264516129032258,1779.4064516129033,593.1354838709677
3299,5, Not Graduate, No,5200000,11700000,6,658,8100000,5100000,11400000,5600000,1,24600000,16186800000,1383.4871794871794,2.6666666666666665,1754.6666666666665,292.4444444444444
3300,0, Not Graduate, No,1900000,6700000,12,595,3000000,3200000,4900000,1700000,1,11100000,6604500000,985.7462686567164,3.4029850746268657,2024.7761194029852,2024.7761194029852
3301,5, Graduate, Yes,3600000,8500000,20,594,4400000,6400000,7400000,4500000,1,18200000,10810800000,1271.8588235294117,8.470588235294118,5031.529411764706,838.5882352941177
3302,3, Graduate, Yes,1500000,4100000,14,611,600000,2000000,4800000,2100000,1,7400000,4521400000,1102.780487804878,5.121951219512195,3129.512195121951,782.3780487804878
3303,3, Not Graduate, No,2000000,5800000,8,799,3000000,3100000,5500000,1000000,1,11600000,9268400000,1598.0,2.7586206896551726,2204.137931034483,551.0344827586207
3304,5, Graduate, No,9200000,18600000,20,497,1000000,300000,24200000,10700000,0,25500000,12673500000,681.3709677419355,9.89247311827957,4916.559139784947,819.4265232974911
3305,0, Not Graduate, Yes,6100000,15900000,18,456,12900000,10800000,19100000,8800000,0,42800000,19516800000,1227.4716981132076,6.90566037735849,3148.9811320754716,3148.9811320754716
3306,5, Not Graduate, No,300000,500000,8,396,400000,300000,1200000,200000,0,1900000,752400000,1504.8,4.8,1900.8,316.8
3307,1, Graduate, No,800000,2300000,10,770,900000,900000,2900000,1100000,1,4700000,3619000000,1573.4782608695652,3.4782608695652173,2678.2608695652175,1339.1304347826087
3308,0, Not Graduate, No,3300000,9000000,16,797,3000000,6400000,10300000,3300000,1,19700000,15700900000,1744.5444444444445,5.866666666666666,4675.733333333333,4675.733333333333
3309,1, Not Graduate, No,5800000,18700000,20,586,14100000,3000000,15600000,6000000,1,32700000,19162200000,1024.716577540107,6.2032085561497325,3635.0802139037432,1817.5401069518716
3310,5, Not Graduate, No,8500000,23400000,16,604,25100000,16500000,24500000,4800000,1,66100000,39924400000,1706.1709401709402,5.811965811965812,3510.42735042735,585.0712250712251
3311,0, Not Graduate, Yes,4100000,12800000,8,799,3700000,700000,9400000,2700000,1,13800000,11026200000,861.421875,2.5625,2047.4375,2047.4375
3312,2, Graduate, No,7800000,26400000,4,763,2200000,8400000,16600000,6700000,1,27200000,20753600000,786.1212121212121,1.1818181818181819,901.7272727272727,300.57575757575756
3313,0, Graduate, No,7500000,23000000,14,725,8900000,4800000,20200000,7100000,1,33900000,24577500000,1068.5869565217392,4.565217391304348,3309.782608695652,3309.782608695652
3314,2, Graduate, No,2300000,8800000,18,336,1800000,800000,5200000,1500000,0,7800000,2620800000,297.8181818181818,4.704545454545454,1580.7272727272725,526.9090909090909
3315,4, Graduate, Yes,600000,2300000,6,495,1700000,600000,2000000,300000,0,4300000,2128500000,925.4347826086956,1.565217391304348,774.7826086956522,154.95652173913044
3316,1, Not Graduate, No,2900000,11500000,20,431,3600000,3800000,5900000,3100000,0,13300000,5732300000,498.46086956521737,5.043478260869565,2173.7391304347825,1086.8695652173913
3317,5, Not Graduate, No,900000,2200000,2,415,600000,1700000,2900000,700000,0,5200000,2158000000,980.9090909090909,0.8181818181818182,339.54545454545456,56.59090909090909
3318,5, Graduate, Yes,9000000,20400000,6,451,5200000,11400000,28200000,9000000,0,44800000,20204800000,990.4313725490196,2.6470588235294117,1193.8235294117646,198.97058823529412
3319,1, Not Graduate, No,4800000,14300000,4,489,12400000,7900000,17700000,3600000,0,38000000,18582000000,1299.4405594405594,1.3426573426573427,656.5594405594405,328.27972027972027
3320,1, Graduate, No,1600000,4600000,12,415,800000,600000,3900000,1500000,0,5300000,2199500000,478.1521739130435,4.173913043478261,1732.1739130434783,866.0869565217391
3321,3, Not Graduate, No,2600000,8100000,12,425,7300000,1900000,6800000,2200000,0,16000000,6800000000,839.5061728395061,3.8518518518518516,1637.037037037037,409.25925925925924
3322,4, Graduate, Yes,1800000,4600000,14,453,1700000,2400000,4700000,1600000,0,8800000,3986400000,866.6086956521739,5.478260869565218,2481.6521739130435,496.3304347826087
3323,5, Graduate, Yes,4400000,11800000,20,634,5900000,7300000,15200000,4300000,1,28400000,18005600000,1525.8983050847457,7.4576271186440675,4728.135593220339,788.0225988700564
3324,2, Not Graduate, No,200000,300000,20,519,0,0,400000,300000,0,400000,207600000,692.0,13.333333333333334,6920.0,2306.6666666666665
3325,4, Not Graduate, Yes,800000,2100000,6,353,700000,300000,2900000,1200000,0,3900000,1376700000,655.5714285714286,2.2857142857142856,806.8571428571428,161.37142857142857
3326,3, Graduate, No,1500000,3200000,4,767,2000000,400000,3700000,1400000,1,6100000,4678700000,1462.09375,1.875,1438.125,359.53125
3327,0, Not Graduate, Yes,7700000,16900000,14,473,22100000,4000000,29000000,6400000,0,55100000,26062300000,1542.1479289940828,6.378698224852071,3017.1242603550295,3017.1242603550295
3328,5, Graduate, Yes,7200000,21300000,2,801,9900000,1700000,20400000,7200000,1,32000000,25632000000,1203.380281690141,0.676056338028169,541.5211267605633,90.25352112676056
3329,4, Graduate, No,1000000,2300000,16,543,200000,100000,2000000,1000000,0,2300000,1248900000,543.0,6.956521739130435,3777.391304347826,755.4782608695652
3330,1, Graduate, No,6300000,17200000,12,714,10100000,4200000,24700000,8500000,1,39000000,27846000000,1618.953488372093,4.395348837209302,3138.279069767442,1569.139534883721
3331,3, Graduate, No,1900000,4100000,12,830,4600000,1100000,5300000,2100000,1,11000000,9130000000,2226.829268292683,5.560975609756097,4615.60975609756,1153.90243902439
3332,5, Graduate, No,4400000,15300000,4,401,200000,5400000,17500000,2400000,1,23100000,9263100000,605.4313725490196,1.1503267973856208,461.28104575163394,76.88017429193899
